Sample	meth_chg	meth_chh	meth_cpg	percent_cpg_meth	total_c	unmeth_chg	unmeth_chh	unmeth_cpg
43028_44664_SO1_NC1_H5_1_val_1	35086.0	337536.0	31589.0	92.7	575010.0	31652.0	136665.0	2482.0
43028_44664_SO2_NC1_I5_1_val_1	26385.0	250724.0	32904.0	84.8	681655.0	76268.0	289472.0	5902.0
43028_44664_SO3_NC1_J5_1_val_1	48412.0	489659.0	50968.0	91.2	953467.0	67931.0	291552.0	4945.0
43051_44931_SO1_NC1_L5_1_val_1	104237.0	986839.0	113989.0	90.6	2043769.0	167051.0	659864.0	11789.0
43051_45068_EO1_NC8_M5_1_val_1	18979.0	174075.0	16167.0	97.5	233422.0	3574.0	20209.0	418.0
43051_45068_EO2_NC8_N5_1_val_1	2.0	136.0	11.0	100.0	294.0	22.0	123.0	0.0
43051_45068_EO3_NC8_O5_1_val_1	21628.0	195461.0	22150.0	90.0	396303.0	30595.0	124005.0	2464.0
44218_44676_PO1_NC4_M6_1_val_1	50657.0	420603.0	44267.0	98.5	548654.0	5334.0	27136.0	657.0
44218_44676_SO1_NC1_J6_1_val_1	3692.0	46521.0	6685.0	75.0	184369.0	26208.0	99038.0	2225.0
44218_44676_SO2_NC1_K6_1_val_1	30739.0	262481.0	28478.0	93.6	427754.0	20515.0	83590.0	1951.0
44218_44676_SO3_NC1_L6_1_val_1	2358.0	31964.0	9125.0	72.0	275505.0	48148.0	180362.0	3548.0
44564_44991_PO1_NC3_H6_1_val_1	57193.0	512235.0	79934.0	83.9	1745582.0	228457.0	852451.0	15312.0
44564_44991_SO1_NC1_E6_1_val_1	17744.0	176647.0	15598.0	90.6	276664.0	12644.0	52416.0	1615.0
44564_44991_SO2_NC1_F6_1_val_1	26568.0	245280.0	26387.0	89.0	461390.0	34296.0	125602.0	3257.0
44564_44991_SO3_NC1_G6_1_val_1	5128.0	48800.0	4378.0	96.2	64244.0	1026.0	4737.0	175.0
44994_45005_PO1_NC3_B6_1_val_1	15564.0	153714.0	13276.0	93.2	223907.0	7199.0	33190.0	964.0
44994_45005_PO2_NC3_C5_1_val_1	37412.0	370281.0	39209.0	86.3	775135.0	66826.0	255201.0	6206.0
44994_45005_SO1_NC1_P5_1_val_1	5846.0	60971.0	5042.0	95.9	87021.0	1715.0	13232.0	215.0
44994_45005_SO2_NC1_A6_1_val_1	24314.0	227879.0	21552.0	92.3	351780.0	14731.0	61515.0	1789.0
44994_45005_SO3_NC1_D6_1_val_1	48977.0	469017.0	40549.0	93.5	656735.0	17024.0	78366.0	2802.0
45208_44650_PO1_NC5_A7_1_val_1	15567.0	139766.0	14521.0	93.0	236967.0	13203.0	52821.0	1089.0
45208_44650_PO2_NC3_B7_1_val_1	8943.0	89568.0	9206.0	85.5	177508.0	14195.0	54032.0	1564.0
45208_44650_PO3_NC5_C8_1_val_1	123936.0	1029746.0	124731.0	90.5	1983401.0	144759.0	547091.0	13138.0
45208_44650_SO1_NC1_N6_1_val_1	79533.0	742996.0	87660.0	88.7	1584368.0	136187.0	526813.0	11179.0
45208_44650_SO2_NC1_O6_1_val_1	41428.0	378466.0	40259.0	91.2	704666.0	45591.0	195022.0	3900.0
45208_44650_SO3_NC1_P6_1_val_1	150.0	5782.0	850.0	69.3	33654.0	5162.0	21334.0	376.0
45208_45054_BL1_NC16_I7_1_val_1	15341.0	140756.0	13031.0	97.1	188739.0	3725.0	15501.0	385.0
45208_45054_BL2_NC16_J7_1_val_1	14466.0	254919.0	22884.0	64.8	932743.0	119136.0	508885.0	12453.0
45208_45054_BL3_NC16_K7_1_val_1	22403.0	218770.0	37115.0	65.2	1157490.0	177532.0	681878.0	19792.0
45208_45054_BL4_NC16_L7_1_val_1	24759.0	319226.0	30461.0	67.1	1000869.0	118448.0	493049.0	14926.0
45208_45054_BL5_NC16_M7_1_val_1	20100.0	259149.0	21829.0	77.3	662816.0	65757.0	289569.0	6412.0
45208_45054_BL6_NC16_N7_1_val_1	16912.0	197287.0	20392.0	68.6	628423.0	76207.0	308284.0	9341.0
45208_45054_EO1_NC8_D7_1_val_1	109834.0	947403.0	99100.0	95.1	1450574.0	54973.0	234123.0	5141.0
45208_45054_EO2_NC8_E7_1_val_1	14580.0	121990.0	13147.0	95.1	185932.0	7428.0	28115.0	672.0
45208_45054_EO3_NC8_F7_1_val_1	6216.0	60831.0	6970.0	88.2	138381.0	12979.0	50452.0	933.0
45208_45054_EO4_NC8_G7_1_val_1	6622.0	107445.0	8274.0	69.7	288729.0	31749.0	131038.0	3601.0
45208_45054_EO5_NC8_H7_1_val_1	8228.0	98709.0	12003.0	74.1	339672.0	42331.0	174201.0	4200.0
45669_44700_PO1_NC5_O8_1_val_1	42861.0	421422.0	41583.0	89.3	774926.0	53150.0	210909.0	5001.0
45669_44700_PO2_NC5_P8_1_val_1	72999.0	797495.0	72445.0	86.4	1529296.0	114605.0	460356.0	11396.0
45669_44700_PO3_NC4_A9_1_val_1	149710.0	1467070.0	160866.0	87.0	3149706.0	278372.0	1069724.0	23964.0
45669_44700_SO1_NC1_L8_1_val_1	95871.0	849662.0	82758.0	97.1	1164856.0	24870.0	109218.0	2477.0
45669_44700_SO2_NC1_M8_1_val_1	18914.0	193058.0	17563.0	91.5	325006.0	16178.0	77663.0	1630.0
