Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
38897_44700_SO1_NC1_E1_2_val_2	362.0	472.5	794.0	1359.5	2507.0	4689.0	8428.0	14871.0	24481.5	37583.0	54814.5	76000.5	100374.5	127188.5	152898.5	175591.0	197320.5	219055.5	241811.5	260644.5	268540.5	263922.0	249339.5	228549.5	205814.5	185724.5	168738.5	152849.0	136020.5	118745.5	103331.5	90787.0	80247.0	70433.0	61624.5	53678.0	46374.5	40143.0	34821.5	30040.0	25831.5	22282.0	19263.5	16451.0	13860.0	11767.0	9847.0	8126.5	6764.5	5666.0	4888.5	4311.5	3496.5	2229.5	1267.5	932.0	711.5	528.5	394.0	293.5	225.5	180.5	147.0	112.0	81.5	65.0	51.0	40.0	36.0	29.5	22.5	17.0	12.5	9.0	5.0	4.5	5.0	4.5	3.0	2.0	1.5	2.0	3.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38897_44700_SO2_NC1_F1_1_val_1	100.0	121.5	212.0	513.0	1213.0	2442.5	4689.0	7971.5	12899.0	20172.5	30280.0	43811.0	60662.5	80094.0	98679.5	115038.0	130584.0	145943.5	163422.0	178775.5	184635.5	180644.0	170564.5	158110.5	144870.5	131947.5	120126.5	109172.0	98115.5	87568.0	78546.0	70722.0	63295.0	56323.0	49897.0	44520.0	39713.5	35096.0	31005.0	27209.5	23946.0	20839.5	17967.5	15578.0	13365.0	11286.0	9487.0	7841.5	6370.5	5070.5	3948.0	2988.0	2243.0	1747.0	1341.0	1014.5	752.5	588.5	488.5	410.5	358.5	307.5	270.5	256.0	226.5	195.0	170.5	143.0	135.0	126.0	112.0	95.0	81.0	81.5	73.5	59.5	59.0	61.0	54.5	49.0	41.5	36.5	35.0	32.0	26.0	22.0	23.5	21.5	15.0	12.0	12.0	11.5	10.0	9.0	8.0	6.0	5.0	5.0	3.0	0.5	0.0
38897_44700_SO2_NC1_F1_2_val_2	248.0	322.5	596.5	1112.0	2093.0	3791.5	6706.5	11469.0	18164.0	27587.5	39592.5	53780.5	70443.0	88713.0	105753.0	121068.5	135721.0	149422.0	163617.5	176522.0	182680.5	180436.5	171614.0	157548.5	142789.5	130519.5	119579.0	109269.0	98318.5	86643.0	76990.0	68853.0	61235.0	54743.0	48477.0	42773.5	37959.0	33638.0	29688.0	26269.0	23299.5	20310.5	17475.5	15279.5	13236.5	11358.0	9756.5	8209.0	6909.0	5773.5	4779.5	4036.5	3162.0	1926.0	1032.5	694.5	473.0	344.0	256.0	192.0	156.0	122.5	94.0	72.5	50.0	45.5	36.5	23.5	19.5	13.5	11.5	13.0	11.5	7.0	3.0	1.5	2.5	2.5	1.0	1.5	1.0	0.5	0.5	0.0	0.0	0.5	1.0	0.5	0.5	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38897_44700_SO3_NC1_G1_1_val_1	98.0	172.0	356.5	813.0	1793.5	3628.5	7205.0	13191.5	22509.5	36783.0	57465.0	84513.0	118290.0	157757.5	197287.5	233171.0	267790.5	305293.5	347929.0	384833.0	399049.5	390015.0	366805.0	337189.0	306742.5	279864.0	256845.0	233957.5	209928.0	186492.0	164909.0	145970.5	129347.0	114424.0	101029.0	88911.0	78152.5	68484.5	59709.5	52013.5	45237.0	38905.0	33452.0	28908.0	25000.0	21438.5	17993.5	14756.5	11879.0	9534.5	7662.5	6045.5	4775.5	3769.5	2903.5	2223.0	1717.0	1388.5	1176.5	990.5	840.5	741.5	642.5	563.5	513.5	472.0	406.0	347.5	332.0	296.0	268.5	253.5	228.5	208.5	197.5	178.5	152.5	137.5	115.5	99.0	95.5	90.0	81.0	85.5	86.5	73.5	59.0	47.5	41.0	34.5	33.5	31.5	27.0	23.5	20.0	17.5	14.0	10.0	7.0	5.5	5.0
38897_44700_SO3_NC1_G1_2_val_2	408.0	575.0	1018.5	1836.5	3546.5	6642.5	12043.5	21201.0	35143.0	54745.0	79968.0	110892.5	146442.5	184823.0	222069.5	255491.5	287451.0	319323.5	352790.5	381219.0	392969.5	387102.0	366282.0	335811.0	304106.5	275841.0	251779.0	228966.0	203829.5	178347.0	156752.5	138676.0	123120.5	109014.0	95582.0	83585.0	73489.5	64715.5	56636.0	49445.5	43082.0	37218.0	32095.0	27927.0	24088.5	20675.5	17575.5	14655.0	12268.0	10306.5	8757.0	7627.0	6210.0	4084.5	2450.5	1759.5	1356.0	1073.0	831.0	645.5	501.0	375.0	305.5	241.5	177.0	147.5	122.5	89.0	65.0	49.5	33.5	29.5	27.5	21.0	15.5	11.0	4.0	2.5	3.0	4.5	4.5	3.0	3.0	2.5	1.5	1.0	1.0	1.5	1.5	1.0	0.5	0.5	1.0	2.0	2.5	1.5	1.5	2.0	1.5	0.5	0.0
38897_44700_SO4_NC1_H1_1_val_1	77.0	110.0	217.5	532.0	1169.5	2259.0	4214.5	7430.0	12659.5	20557.0	31324.0	45577.5	64153.0	86042.0	106659.0	125248.0	143632.5	163826.0	186978.5	207127.5	215553.5	210111.0	197167.5	182321.5	167611.5	154650.0	143005.5	130801.5	118181.0	106057.5	95154.5	84784.0	75384.0	67353.5	59529.0	52461.0	46445.5	41068.0	35856.0	31015.0	26662.0	22619.5	19238.5	16352.0	13782.0	11646.0	9842.5	8094.5	6529.0	5282.5	4274.0	3472.5	2757.5	2175.5	1691.5	1345.5	1099.0	863.5	722.5	672.0	566.0	455.5	402.0	353.5	311.0	271.5	239.0	224.0	194.5	160.5	141.5	129.0	112.0	99.0	90.0	82.0	79.0	76.5	73.0	67.0	61.5	55.5	46.5	38.0	35.0	31.0	26.5	24.5	23.5	23.0	19.5	16.0	16.0	11.5	8.5	7.0	4.5	3.0	2.0	2.5	3.0
38897_44700_SO4_NC1_H1_2_val_2	231.0	313.0	610.5	1129.0	2115.5	3877.5	6920.5	11984.0	19562.5	30031.5	43604.5	59905.5	78456.0	98977.5	118683.0	136813.0	154669.5	172002.0	189640.5	204688.0	211788.5	209397.0	199098.5	183677.5	167227.0	152595.5	140230.0	128200.0	114794.0	101617.5	90482.5	80846.0	72040.0	64052.5	56527.5	49712.0	43504.0	38058.0	33197.5	28986.0	25170.5	21505.0	18447.0	15822.5	13541.5	11497.0	9645.0	8102.0	6821.0	5712.5	4884.0	4251.0	3416.5	2292.5	1505.0	1153.5	900.0	686.5	536.5	464.5	383.5	301.0	246.0	197.5	139.0	112.0	93.0	67.5	50.5	31.5	21.5	16.5	16.0	14.0	12.0	10.5	9.0	7.0	4.5	4.0	4.0	3.0	1.5	0.5	0.0	0.5	1.5	1.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	1.0	1.5	1.0	0.0
39053_45005_PO1_NC2_I1_1_val_1	72.0	89.0	170.5	391.5	811.0	1502.0	2864.0	5220.0	8903.0	14303.0	21383.5	30656.5	42673.0	57537.0	72653.5	86076.5	99484.5	113528.5	128089.0	141863.5	149126.5	148503.0	143203.5	135136.5	126536.5	118060.5	109837.5	101465.5	93031.0	85301.0	78188.0	71199.5	64654.0	59362.5	54461.0	49265.0	44753.0	40888.5	37066.5	33434.0	29969.0	26737.5	23592.0	20478.5	17813.0	15396.0	13361.5	11419.5	9337.5	7293.5	5476.5	4197.0	3300.5	2691.0	2173.5	1713.0	1338.5	1024.0	797.0	631.5	519.0	444.5	399.0	366.5	315.0	259.5	224.5	200.0	165.0	137.0	129.0	110.5	96.0	96.0	83.5	67.0	61.5	58.0	55.5	52.5	47.0	39.5	30.5	29.5	32.5	31.0	28.5	26.5	23.5	18.5	18.0	18.5	10.5	7.5	6.5	3.5	2.5	3.0	4.0	3.5	2.5
39053_45005_PO1_NC2_I1_2_val_2	195.0	227.0	488.5	902.0	1528.0	2882.5	5456.0	9510.0	15124.0	22645.0	32149.0	42761.5	55523.0	70529.0	84860.5	97339.0	109455.5	121263.5	132808.0	143160.5	148244.0	147654.0	142541.5	133624.0	123236.0	113734.5	106188.5	98622.5	89866.5	81409.5	73533.0	66543.0	60871.5	56319.0	52013.0	47327.5	42314.5	38033.5	34642.5	31550.5	29020.0	26092.5	23089.0	20498.5	18202.5	16161.5	13991.5	11752.5	9605.0	7801.5	6323.5	5211.5	4100.5	2679.5	1640.0	1158.5	810.0	538.5	354.5	250.0	176.0	121.5	94.0	75.5	57.0	48.5	38.0	26.0	22.0	17.0	12.0	12.5	10.0	4.5	3.5	5.5	5.5	3.0	3.5	4.5	3.0	1.5	1.0	1.0	1.0	1.0	0.5	0.5	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0
39053_45005_SO1_NC1_J1_1_val_1	12.0	21.5	88.5	222.0	438.5	711.0	1372.0	2699.0	4413.0	6369.0	8533.5	10738.5	13452.0	17083.5	20915.0	24172.5	27420.5	31108.0	34634.0	37882.5	40486.5	41702.5	41630.0	41038.0	39922.0	38356.0	36885.5	35637.5	34222.5	32819.0	31869.0	31089.0	30396.0	29843.0	29134.5	27961.5	26599.0	25334.0	24132.0	22708.0	21203.5	19644.0	17691.5	15685.5	13999.5	12511.5	10925.5	9215.5	7435.0	5708.5	4261.0	3165.0	2409.0	1904.5	1590.5	1318.5	994.0	702.5	511.5	401.0	342.0	305.0	261.0	215.5	189.0	168.5	148.5	130.5	116.0	96.0	78.0	69.5	54.5	38.0	32.0	26.5	18.0	18.0	16.5	15.0	16.5	16.0	13.0	12.5	12.5	9.5	11.5	14.0	10.5	4.0	1.0	1.0	2.0	3.0	3.5	2.5	1.5	1.5	2.5	3.0	2.0
