Sample	SAMPLE_NAME	MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
45208_45054_BL6_NC16_N7_1_val_1_FR	45208_45054_BL6_NC16_N7_1_val_1	181.0	130.0	64.0	28.0	499.0	187.731642	98.040455	14503.0	FR	25.0	49.0	75.0	101.0	129.0	171.0	217.0	257.0	297.0	377.0	559.0			
45208_45054_EO1_NC8_D7_1_val_1_FR	45208_45054_EO1_NC8_D7_1_val_1	219.0	130.0	75.0	30.0	500.0	230.135676	106.522559	26917.0	FR	29.0	57.0	87.0	119.0	151.0	179.0	221.0	283.0	351.0	423.0	531.0			
45208_45054_EO2_NC8_E7_1_val_1_FR	45208_45054_EO2_NC8_E7_1_val_1	206.0	130.0	67.0	30.0	500.0	221.432735	102.063215	3568.0	FR	29.0	51.0	79.0	107.0	135.0	161.0	203.0	259.0	333.0	439.0	549.0			
45208_45054_EO3_NC8_F7_1_val_1_FR	45208_45054_EO3_NC8_F7_1_val_1	211.0	130.0	66.0	30.0	500.0	217.867802	99.675282	2761.0	FR	25.0	51.0	75.0	103.0	133.0	163.0	205.0	267.0	329.0	389.0	531.0			
45208_45054_EO4_NC8_G7_1_val_1_FR	45208_45054_EO4_NC8_G7_1_val_1	176.0	30.0	78.0	30.0	500.0	183.535807	106.882745	6521.0	FR	29.0	59.0	87.0	117.0	157.0	203.0	239.0	263.0	311.0	421.0	585.0			
45208_45054_EO5_NC8_H7_1_val_1_FR	45208_45054_EO5_NC8_H7_1_val_1	180.0	130.0	63.0	30.0	500.0	186.403266	96.337845	7717.0	FR	25.0	49.0	75.0	99.0	127.0	167.0	213.0	255.0	293.0	373.0	535.0			
45669_44700_PO1_NC5_O8_1_val_1_FR	45669_44700_PO1_NC5_O8_1_val_1	189.0	130.0	64.0	30.0	500.0	200.427262	101.40796	15714.0	FR	27.0	51.0	77.0	103.0	129.0	169.0	217.0	265.0	317.0	413.0	565.0			
45669_44700_PO2_NC5_P8_1_val_1_FR	45669_44700_PO2_NC5_P8_1_val_1	171.0	130.0	61.0	30.0	500.0	184.383859	96.740788	32624.0	FR	23.0	45.0	69.0	89.0	123.0	159.0	199.0	241.0	297.0	409.0	579.0			
45669_44700_PO3_NC4_A9_1_val_1_FR	45669_44700_PO3_NC4_A9_1_val_1	200.0	130.0	63.0	30.0	500.0	208.438327	100.231786	64096.0	FR	23.0	45.0	71.0	97.0	127.0	161.0	211.0	271.0	319.0	401.0	547.0			
45669_44700_SO1_NC1_L8_1_val_1_FR	45669_44700_SO1_NC1_L8_1_val_1	198.0	130.0	66.0	30.0	500.0	213.42195	100.543443	21749.0	FR	27.0	53.0	79.0	105.0	133.0	159.0	199.0	255.0	331.0	431.0	555.0			
45669_44700_SO2_NC1_M8_1_val_1_FR	45669_44700_SO2_NC1_M8_1_val_1	179.0	130.0	65.0	30.0	500.0	188.607127	101.450284	6707.0	FR	25.0	49.0	75.0	99.0	131.0	175.0	223.0	263.0	299.0	411.0	579.0			
45669_44700_SO3_NC1_N8_1_val_1_FR	45669_44700_SO3_NC1_N8_1_val_1	162.0	130.0	62.0	30.0	500.0	172.441384	93.055091	4683.0	FR	23.0	43.0	65.0	93.0	125.0	159.0	195.0	227.0	271.0	375.0	569.0			
45669_44964_PO1_NC4_B8_1_val_1_FR	45669_44964_PO1_NC4_B8_1_val_1	210.0	130.0	62.0	30.0	499.0	220.528076	97.61606	3918.0	FR	21.0	45.0	69.0	95.0	125.0	155.0	199.0	253.0	329.0	399.0	539.0			
