Sample	Original top strand	Complementary to original top strand	Complementary to original bottom strand	Original bottom strand
42651_45042_PO2_NC4_N4_2_val_2_screen	38605.0	322.0	339.0	38718.0
42651_45042_PO3_NC4_G5_1_val_1_screen	120.0	37417.0	37436.0	143.0
42651_45042_PO3_NC4_G5_2_val_2_screen	37000.0	286.0	263.0	37014.0
42651_45042_SO1_NC1_C6_1_val_1_screen	153.0	36154.0	35847.0	128.0
42651_45042_SO1_NC1_C6_2_val_2_screen	35565.0	310.0	320.0	35448.0
42651_45042_SO2_NC1_D5_1_val_1_screen	135.0	37108.0	37397.0	126.0
42651_45042_SO2_NC1_D5_2_val_2_screen	37049.0	208.0	213.0	37140.0
42651_45042_SO3_NC1_F5_1_val_1_screen	152.0	39642.0	39558.0	142.0
42651_45042_SO3_NC1_F5_2_val_2_screen	39229.0	350.0	346.0	39177.0
43028_44664_PO2_NC5_K5_1_val_1_screen	102.0	40040.0	39762.0	109.0
43028_44664_PO2_NC5_K5_2_val_2_screen	39802.0	208.0	211.0	39456.0
43028_44664_SO1_NC1_H5_1_val_1_screen	104.0	39392.0	39065.0	124.0
43028_44664_SO1_NC1_H5_2_val_2_screen	39236.0	251.0	239.0	38899.0
43028_44664_SO2_NC1_I5_1_val_1_screen	186.0	39470.0	39629.0	192.0
43028_44664_SO2_NC1_I5_2_val_2_screen	38979.0	287.0	334.0	39346.0
43028_44664_SO3_NC1_J5_1_val_1_screen	106.0	39374.0	39444.0	101.0
43028_44664_SO3_NC1_J5_2_val_2_screen	38982.0	195.0	202.0	39115.0
43051_44931_SO1_NC1_L5_1_val_1_screen	127.0	39357.0	39267.0	122.0
43051_44931_SO1_NC1_L5_2_val_2_screen	39037.0	262.0	235.0	38916.0
43051_45068_EO1_NC8_M5_1_val_1_screen	91.0	36599.0	36519.0	94.0
43051_45068_EO1_NC8_M5_2_val_2_screen	36073.0	198.0	184.0	35882.0
43051_45068_EO2_NC8_N5_1_val_1_screen	50.0	156.0	147.0	40.0
43051_45068_EO2_NC8_N5_2_val_2_screen	195.0	33.0	30.0	212.0
43051_45068_EO3_NC8_O5_1_val_1_screen	114.0	39103.0	38908.0	116.0
43051_45068_EO3_NC8_O5_2_val_2_screen	38669.0	231.0	238.0	38643.0
44218_44676_PO1_NC4_M6_1_val_1_screen	181.0	32862.0	32800.0	160.0
44218_44676_PO1_NC4_M6_2_val_2_screen	32460.0	261.0	227.0	32412.0
44218_44676_SO1_NC1_J6_1_val_1_screen	118.0	40822.0	41017.0	135.0
44218_44676_SO1_NC1_J6_2_val_2_screen	40324.0	220.0	213.0	40392.0
44218_44676_SO2_NC1_K6_1_val_1_screen	150.0	38292.0	37933.0	144.0
44218_44676_SO2_NC1_K6_2_val_2_screen	37767.0	263.0	299.0	37397.0
44218_44676_SO3_NC1_L6_1_val_1_screen	305.0	39231.0	39528.0	338.0
44218_44676_SO3_NC1_L6_2_val_2_screen	38440.0	574.0	634.0	38754.0
44564_44991_PO1_NC3_H6_1_val_1_screen	212.0	39933.0	39106.0	238.0
44564_44991_PO1_NC3_H6_2_val_2_screen	39646.0	309.0	378.0	38692.0
44564_44991_SO1_NC1_E6_1_val_1_screen	312.0	38952.0	36162.0	666.0
44564_44991_SO1_NC1_E6_2_val_2_screen	38249.0	472.0	898.0	35621.0
44564_44991_SO2_NC1_F6_1_val_1_screen	217.0	36397.0	36342.0	218.0
44564_44991_SO2_NC1_F6_2_val_2_screen	36083.0	319.0	320.0	36004.0
44564_44991_SO3_NC1_G6_1_val_1_screen	107.0	29390.0	29197.0	105.0
44564_44991_SO3_NC1_G6_2_val_2_screen	29025.0	234.0	242.0	28935.0
44994_45005_PO1_NC3_B6_1_val_1_screen	126.0	40599.0	39410.0	273.0
44994_45005_PO1_NC3_B6_2_val_2_screen	40345.0	257.0	401.0	39316.0
44994_45005_PO2_NC3_C5_1_val_1_screen	229.0	40106.0	39491.0	275.0
44994_45005_PO2_NC3_C5_2_val_2_screen	39453.0	347.0	414.0	39097.0
44994_45005_SO1_NC1_P5_1_val_1_screen	75.0	38871.0	38874.0	79.0
44994_45005_SO1_NC1_P5_2_val_2_screen	38390.0	171.0	209.0	38420.0
44994_45005_SO2_NC1_A6_1_val_1_screen	193.0	40558.0	39552.0	333.0
44994_45005_SO2_NC1_A6_2_val_2_screen	39967.0	351.0	459.0	39032.0
44994_45005_SO3_NC1_D6_1_val_1_screen	302.0	40026.0	37406.0	719.0
44994_45005_SO3_NC1_D6_2_val_2_screen	39500.0	525.0	967.0	36749.0
45208_44650_PO1_NC5_A7_1_val_1_screen	133.0	39791.0	39552.0	134.0
45208_44650_PO1_NC5_A7_2_val_2_screen	39206.0	314.0	305.0	39067.0
45208_44650_PO2_NC3_B7_1_val_1_screen	109.0	38924.0	38750.0	118.0
45208_44650_PO2_NC3_B7_2_val_2_screen	38183.0	217.0	242.0	38132.0
45208_44650_PO3_NC5_C8_1_val_1_screen	200.0	38613.0	38576.0	136.0
45208_44650_PO3_NC5_C8_2_val_2_screen	38111.0	311.0	273.0	38198.0
45208_44650_SO1_NC1_N6_1_val_1_screen	132.0	39765.0	38964.0	126.0
45208_44650_SO1_NC1_N6_2_val_2_screen	39147.0	259.0	226.0	38516.0
45208_44650_SO2_NC1_O6_1_val_1_screen	109.0	39435.0	39509.0	104.0
45208_44650_SO2_NC1_O6_2_val_2_screen	39121.0	246.0	255.0	39137.0
45208_44650_SO3_NC1_P6_1_val_1_screen	121.0	40898.0	40855.0	104.0
45208_44650_SO3_NC1_P6_2_val_2_screen	40556.0	269.0	259.0	40458.0
45208_45054_BL1_NC16_I7_1_val_1_screen	121.0	33596.0	33766.0	127.0
45208_45054_BL1_NC16_I7_2_val_2_screen	33074.0	255.0	247.0	33430.0
45208_45054_BL2_NC16_J7_1_val_1_screen	99.0	40361.0	40350.0	87.0
45208_45054_BL2_NC16_J7_2_val_2_screen	40365.0	259.0	204.0	40247.0
45208_45054_BL3_NC16_K7_1_val_1_screen	228.0	39666.0	40281.0	257.0
45208_45054_BL3_NC16_K7_2_val_2_screen	39058.0	398.0	420.0	39681.0
45208_45054_BL4_NC16_L7_1_val_1_screen	109.0	40560.0	40574.0	115.0
45208_45054_BL4_NC16_L7_2_val_2_screen	40325.0	256.0	245.0	40064.0
45208_45054_BL5_NC16_M7_1_val_1_screen	93.0	40306.0	40545.0	93.0
45208_45054_BL5_NC16_M7_2_val_2_screen	39694.0	248.0	257.0	39818.0
45208_45054_BL6_NC16_N7_1_val_1_screen	156.0	39565.0	39647.0	123.0
45208_45054_BL6_NC16_N7_2_val_2_screen	39412.0	293.0	252.0	39258.0
45208_45054_EO1_NC8_D7_1_val_1_screen	120.0	37610.0	38092.0	137.0
45208_45054_EO1_NC8_D7_2_val_2_screen	37176.0	251.0	304.0	37540.0
45208_45054_EO2_NC8_E7_1_val_1_screen	191.0	30681.0	30711.0	233.0
45208_45054_EO2_NC8_E7_2_val_2_screen	30282.0	325.0	326.0	30433.0
45208_45054_EO3_NC8_F7_1_val_1_screen	140.0	39579.0	39464.0	144.0
45208_45054_EO3_NC8_F7_2_val_2_screen	39195.0	312.0	290.0	39285.0
45208_45054_EO4_NC8_G7_1_val_1_screen	116.0	39599.0	39899.0	79.0
45208_45054_EO4_NC8_G7_2_val_2_screen	39505.0	278.0	254.0	39799.0
45208_45054_EO5_NC8_H7_1_val_1_screen	168.0	39420.0	39389.0	159.0
45208_45054_EO5_NC8_H7_2_val_2_screen	38960.0	291.0	301.0	38753.0
45669_44700_PO1_NC5_O8_1_val_1_screen	146.0	41096.0	40612.0	231.0
45669_44700_PO1_NC5_O8_2_val_2_screen	40200.0	269.0	343.0	39849.0
45669_44700_PO2_NC5_P8_1_val_1_screen	199.0	40813.0	39837.0	326.0
45669_44700_PO2_NC5_P8_2_val_2_screen	40270.0	306.0	423.0	39278.0
45669_44700_PO3_NC4_A9_1_val_1_screen	221.0	40395.0	39523.0	287.0
45669_44700_PO3_NC4_A9_2_val_2_screen	39643.0	362.0	471.0	39316.0
45669_44700_SO1_NC1_L8_1_val_1_screen	148.0	35885.0	35908.0	125.0
45669_44700_SO1_NC1_L8_2_val_2_screen	35452.0	206.0	228.0	35596.0
45669_44700_SO2_NC1_M8_1_val_1_screen	122.0	40586.0	39782.0	210.0
