Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
41391_44650_SO3_NC1_D3_1_val_1										1.2548765823977954	0.45578939300065857	0.45460286936896993	0.0	0.0	0.0	0.0
41391_44650_SO3_NC1_D3_2_val_2										0.6218014575993319	0.32805539904148207	2.1510239808409546	0.04113166143528641	0.02218290208455467	0.0	0.0
41391_44923_PO1_NC3_H3_1_val_1										1.4207417486725136	0.3872471075821988	0.8000906314749598	0.3506206421105641	0.5207061075100285	0.02962203197766956	0.0
41391_44923_PO1_NC3_H3_2_val_2										2.3727797068691903	0.32032850815216984	0.5089840001688382	0.6000712041959286	1.5509401225772954	0.05787244251561294	0.03586061589785105
41391_44923_PO2_NC3_I3_1_val_1										1.506694672241598	0.5422244628676384	0.9070254614425619	0.18303366005539343	0.031670187472802515	0.0	0.0
41391_44923_PO2_NC3_I3_2_val_2										2.8245682504386003	0.2265484119820653	0.992890410260429	1.35538302283779	0.25868031289033616	0.0	0.0
41391_44923_PO3_NC5_J3_1_val_1										2.8226096429978433	0.4678799575868955	0.36848284272989934	0.01055464559077806	0.0	0.0	0.0
41391_44923_PO3_NC5_J3_2_val_2										7.9276569541186035	0.6959066575800916	0.6940333451418335	0.0315755368802289	0.055469990013598515	0.0	0.0
41391_44923_PO4_NC4_K3_1_val_1										1.7840000706105172	0.33137226628957	0.17650891298537139	0.0	0.0	0.0	0.0
41391_44923_PO4_NC4_K3_2_val_2										2.6413663290928593	0.6697402548647697	1.4312627598948535	0.034560932183712104	0.02517070008016295	0.0	0.0
41391_44923_SO1_NC1_O2_1_val_1										3.2448305475510475	0.4524112959534757	0.13834445907927875	0.0	0.0	0.0	0.0
41391_44923_SO1_NC1_O2_2_val_2										9.419214942306125	0.7502579096134158	0.223392154490301	0.0	0.04638419832657488	0.0	0.0
41391_44923_SO2_NC1_P2_1_val_1										1.7447867876997358	0.13978746310217977	0.009091644955635242	0.0	0.0	0.0	0.0
